FORMA	LEMMA	CATEGORIA
abate	abate	ecclesiastical occupation
abati	abate	ecclesiastical occupation
abatina	abate	ecclesiastical occupation
abatine	abate	ecclesiastical occupation
abatini	abate	ecclesiastical occupation
abatino	abate	ecclesiastical occupation
abatucci	abate	ecclesiastical occupation
abatuccio	abate	ecclesiastical occupation
abbadessa	abate	ecclesiastical occupation
abbadesse	abate	ecclesiastical occupation
accademica	accademico	profession
accademiche	accademico	profession
accademici	accademico	profession
accademico	accademico	profession
accalappiacani	accalappiacani	profession
accolita	accolito	ecclesiastical occupation
accolite	accolito	ecclesiastical occupation
accoliti	accolito	ecclesiastical occupation
accolito	accolito	ecclesiastical occupation
accompagnatora	accompagnatore	profession
accompagnatore	accompagnatore	profession
accompagnatoressa	accompagnatore	profession
accompagnatoresse	accompagnatore	profession
accompagnatori	accompagnatore	profession
accompagnatrice	accompagnatore	profession
accompagnatrici	accompagnatore	profession
accordatora	accordatore	profession
accordatore	accordatore	profession
accordatoressa	accordatore	profession
accordatoresse	accordatore	profession
accordatori	accordatore	profession
accordatrice	accordatore	profession
accordatrici	accordatore	profession
acquafortista	acquafortista	profession
acquafortiste	acquafortista	profession
acquafortisti	acquafortista	profession
acquaiola	acquaiolo	profession
acquaiole	acquaiolo	profession
acquaioli	acquaiolo	profession
acquaiolo	acquaiolo	profession
acquerellista	acquerellista	profession
acquerelliste	acquerellista	profession
acquerellisti	acquerellista	profession
acrobata	acrobata	profession
acrobate	acrobata	profession
acrobati	acrobata	profession
adelantadi	adelantado	profession
adelantado	adelantado	profession
aedi	aedo	profession
aedo	aedo	profession
affrescatora	affrescatore	profession
affrescatore	affrescatore	profession
affrescatoressa	affrescatore	profession
affrescatoresse	affrescatore	profession
affrescatori	affrescatore	profession
affrescatrice	affrescatore	profession
affrescatrici	affrescatore	profession
agente	agente	profession
agenti	agente	profession
agrimensora	agrimensore	profession
agrimensore	agrimensore	profession
agrimensoressa	agrimensore	profession
agrimensoresse	agrimensore	profession
agrimensori	agrimensore	profession
agronomi	agronomo	profession
agronomo	agronomo	profession
aiutante	aiutante	military rank
aiutanti	aiutante	military rank
albergatora	albergatore	profession
albergatore	albergatore	profession
albergatoressa	albergatore	profession
albergatoresse	albergatore	profession
albergatori	albergatore	profession
albergatrice	albergatore	profession
albergatrici	albergatore	profession
alchimista	alchimista	profession
alchimiste	alchimista	profession
alchimisti	alchimista	profession
alfiera	alfiere	military rank
alfiere	alfiere	military rank
alfieri	alfiere	military rank
algebrista	algebrista	profession
algebriste	algebrista	profession
algebristi	algebrista	profession
alienista	alienista	profession
alieniste	alienista	profession
alienisti	alienista	profession
allenatora	allenatore	profession
allenatore	allenatore	profession
allenatoressa	allenatore	profession
allenatoresse	allenatore	profession
allenatori	allenatore	profession
allenatrice	allenatore	profession
allenatrici	allenatore	profession
allevatora	allevatore	profession
allevatore	allevatore	profession
allevatori	allevatore	profession
allevatrice	allevatore	profession
allevatrici	allevatore	profession
alpini	alpino	military rank
alpinista	alpinista	profession
alpiniste	alpinista	profession
alpinisti	alpinista	profession
alpino	alpino	military rank
alunna	alunno	military rank
alunne	alunno	military rank
alunni	alunno	military rank
alunno	alunno	military rank
amanuense	amanuense	profession
amanuensi	amanuense	profession
ambasciatora	ambasciatore	profession
ambasciatore	ambasciatore	profession
ambasciatoressa	ambasciatore	profession
ambasciatoresse	ambasciatore	profession
ambasciatori	ambasciatore	profession
ambasciatrice	ambasciatore	profession
ambasciatrici	ambasciatore	profession
ambulante	ambulante	profession
ambulanti	ambulante	profession
ammaestratora	ammaestratore	profession
ammaestratore	ammaestratore	profession
ammaestratoressa	ammaestratore	profession
ammaestratoresse	ammaestratore	profession
ammaestratori	ammaestratore	profession
ammaestratrice	ammaestratore	profession
ammaestratrici	ammaestratore	profession
ammiraglia	ammiraglio	military rank
ammiraglie	ammiraglio	military rank
ammiraglii	ammiraglio	military rank
ammiraglio	ammiraglio	military rank
analista	analista	profession
analiste	analista	profession
analisti	analista	profession
anatomista	anatomista	profession
anatomiste	anatomista	profession
anatomisti	anatomista	profession
anestesista	anestesista	profession
anestesiste	anestesista	profession
anestesisti	anestesista	profession
animatore	animatore	profession
animatori	animatore	profession
animatrice	animatore	profession
animatrici	animatore	profession
annalista	annalista	profession
annaliste	annalista	profession
annalisti	annalista	profession
annunciatore	annunciatore	profession
annunciatori	annunciatore	profession
annunciatrice	annunciatore	profession
annunciatrici	annunciatore	profession
antiquari	antiquario	profession
antiquaria	antiquario	profession
antiquarie	antiquario	profession
antiquarii	antiquario	profession
antiquario	antiquario	profession
antropologa	antropologo	profession
antropologhe	antropologo	profession
antropologhi	antropologo	profession
antropologi	antropologo	profession
antropologo	antropologo	profession
apologista	apologista	profession
apologiste	apologista	profession
apologisti	apologista	profession
apparatora	apparatore	profession
apparatore	apparatore	profession
apparatoressa	apparatore	profession
apparatoresse	apparatore	profession
apparatori	apparatore	profession
apparatrice	apparatore	profession
apparatrici	apparatore	profession
apprendista	apprendista	profession
apprendiste	apprendista	profession
apprendisti	apprendista	profession
appuntata	appuntato	military rank
appuntate	appuntato	military rank
appuntati	appuntato	military rank
appuntato	appuntato	military rank
arabista	arabista	profession
arabiste	arabista	profession
arabisti	arabista	profession
araldi	araldo	profession
araldo	araldo	profession
aratora	aratore	profession
aratore	aratore	profession
aratoressa	aratore	profession
aratoresse	aratore	profession
aratori	aratore	profession
aratrice	aratore	profession
aratrici	aratore	profession
arbitra	arbitro	profession
arbitre	arbitro	profession
arbitressa	arbitro	profession
arbitri	arbitro	profession
arbitro	arbitro	profession
archeologa	archeologo	profession
archeologhe	archeologo	profession
archeologi	archeologo	profession
archeologo	archeologo	profession
archibugiera	archibugiere	profession
archibugiere	archibugiere	profession
archibugieri	archibugiere	profession
archimandrita	archimandrita	ecclesiastical occupation
archimandrite	archimandrita	ecclesiastical occupation
archimandriti	archimandrita	ecclesiastical occupation
architetta	architetto	profession
architette	architetto	profession
architetti	architetto	profession
architetto	architetto	profession
archivista	archivista	profession
archiviste	archivista	profession
archivisti	archivista	profession
arcidiaconi	arcidiacono	ecclesiastical occupation
arcidiacono	arcidiacono	ecclesiastical occupation
arciduca	arciduca	noble rank
arciduchessa	arciduchessa	noble rank
arciduchesse	arciduchessa	noble rank
arciduchi	arciduca	noble rank
arciera	arciere	profession
arciere	arciere	profession
arcieri	arciere	profession
arciprete	arciprete	ecclesiastical occupation
arcipreti	arciprete	ecclesiastical occupation
arcivescovi	arcivescovo	ecclesiastical occupation
arcivescovo	arcivescovo	ecclesiastical occupation
argentarii	argentario	profession
argentario	argentario	profession
argentiera	argentiere	profession
argentiere	argentiere	profession
argentieri	argentiere	profession
armaioli	armaiolo	profession
armaiolo	armaiolo	profession
armatora	armatore	profession
armatore	armatore	profession
armatoressa	armatore	profession
armatoresse	armatore	profession
armatori	armatore	profession
armatrice	armatore	profession
armatrici	armatore	profession
armiera	armiere	profession
armiere	armiere	profession
armieri	armiere	profession
armorari	armoraro	profession
armoraro	armoraro	profession
aromatarii	aromatario	profession
aromatario	aromatario	profession
arrampicatora	arrampicatore	profession
arrampicatore	arrampicatore	profession
arrampicatoressa	arrampicatore	profession
arrampicatoresse	arrampicatore	profession
arrampicatori	arrampicatore	profession
arrampicatrice	arrampicatore	profession
arrampicatrici	arrampicatore	profession
arrotini	arrotino	profession
arrotino	arrotino	profession
arsenalotti	arsenalotto	profession
arsenalotto	arsenalotto	profession
articolista	articolista	profession
articoliste	articolista	profession
articolisti	articolista	profession
artiera	artiere	profession
artiere	artiere	profession
artieri	artiere	profession
artigiana	artigiano	profession
artigiane	artigiano	profession
artigianelli	artigianello	profession
artigianello	artigianello	profession
artigiani	artigiano	profession
artigiano	artigiano	profession
